CCTV,#genre#
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
睛彩竞技,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
睛彩篮球,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
卡酷少儿,http://39.134.67.108/PLTV/88888888/224/3221225562/1.m3u8

全网央卫,#genre#
CCTV1[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV1[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8
CCTV1[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8
CCTV1[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8
CCTV2[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8
CCTV3[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
CCTV3[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226165/index.m3u8
CCTV4[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8
CCTV5[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8
CCTV5[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226146/index.m3u8
CCTV6[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8
CCTV6[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226148/index.m3u8
CCTV7[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8
CCTV7[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226143/index.m3u8
CCTV7[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226137/index.m3u8
CCTV8[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8
CCTV8[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226167/index.m3u8
CCTV10[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8
CCTV10[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226169/index.m3u8
CCTV11[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8
CCTV11[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226145/index.m3u8
CCTV12[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8
CCTV12[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226126/index.m3u8
CCTV13[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8
CCTV14[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV14[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226150/index.m3u8
CCTV15[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8
CCTV16[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CETV1[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8
CETV4[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8
CETV4[768*576],https://zby.130519.xyz/PLTV/11/224/3221226069/index.m3u8
CGTN[768*576],https://zby.130519.xyz/PLTV/11/224/3221226016/index.m3u8

地方卫视,#genre#
江苏卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225720/index.m3u8
黑龙江卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225722/index.m3u8
东方卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225725/index.m3u8
北京卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225724/index.m3u8
湖南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225726/index.m3u8
浙江卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225727/index.m3u8
深圳卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225728/index.m3u8
湖北卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225729/index.m3u8
安徽卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225739/index.m3u8
江西卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225740/index.m3u8
天津卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225742/index.m3u8
广东卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225731/index.m3u8
山东卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225733/index.m3u8
东南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225745/index.m3u8
辽宁卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225747/index.m3u8
西藏卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221225767/index.m3u8
康巴卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221225773/index.m3u8
厦门卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226008/index.m3u8
内蒙古卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226011/index.m3u8
西藏卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226012/index.m3u8
吉林卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226082/index.m3u8
广西卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226084/index.m3u8
陕西卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226086/index.m3u8
新疆卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226088/index.m3u8
甘肃卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226090/index.m3u8
宁夏卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226092/index.m3u8
河北卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226107/index.m3u8
青海卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226105/index.m3u8
东方卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226106/index.m3u8
云南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226109/index.m3u8
兵团卫视[768*576],https://zby.130519.xyz/PLTV/11/224/3221226111/index.m3u8
山西卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226113/index.m3u8
东方卫视[1023*576],https://zby.130519.xyz/PLTV/11/224/3221226050/index.m3u8
广西卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226130/index.m3u8
河南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226132/index.m3u8
吉林卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226149/index.m3u8
云南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226151/index.m3u8
四川卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226152/index.m3u8
海南卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226154/index.m3u8
重庆卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226171/index.m3u8
贵州卫视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226173/index.m3u8
东方财经[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226134/index.m3u8
新闻综合[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8
第一财经[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225737/index.m3u8
五星体育[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225732/index.m3u8
东方影视[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225744/index.m3u8
上海都市[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225749/index.m3u8
金色学堂[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225748/index.m3u8
都市剧场[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225762/index.m3u8
都市剧场[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226155/index.m3u8
动漫秀场[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225764/index.m3u8
动漫秀场[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226138/index.m3u8
生活时尚[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225768/index.m3u8
欢笑剧场[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225771/index.m3u8
法治天地[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221225994/index.m3u8
游戏风云[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8
游戏风云[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226140/index.m3u8
金鹰卡通[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226094/index.m3u8
哈哈炫动[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8
哈哈炫动[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226175/index.m3u8
卡酷少儿[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226019/index.m3u8
嘉佳卡通[768*576],https://zby.130519.xyz/PLTV/11/224/3221226021/index.m3u8
乐游[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226157/index.m3u8
乐游[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226115/index.m3u8
睛彩竞技[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226116/index.m3u8
睛彩篮球[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226118/index.m3u8
睛彩广场舞[1920*1080],https://zby.130519.xyz/PLTV/11/224/3221226139/index.m3u8







